customerNumber,productName,total_prod
141,"1903 Ford Model A",72
141,"American Airlines: B767-300",72
141,"1992 Ferrari 360 Spider red",71
141,"Collectable Wooden Train",70
141,"1904 Buick Runabout",65
141,"1962 City of Detroit Streetcar",63
141,"The Mayflower",63
124,"1939 Cadillac Limousine",50
141,"The Titanic",50
141,"Pont Yacht",50
141,"1969 Ford Falcon",49
124,"1940 Ford Pickup Truck",49
141,"P-51-D Mustang",49
124,"1912 Ford Model T Delivery Wagon",49
124,"2002 Chevy Corvette",49
141,"1950's Chicago Surface Lines Streetcar",49
141,"1928 Ford Phaeton Deluxe",49
124,"1968 Dodge Charger",48
141,"1936 Mercedes-Benz 500K Special Roadster",48
124,"1948 Porsche 356-A Roadster",48
141,"1969 Dodge Charger",47
124,"1903 Ford Model A",47
124,"1970 Chevy Chevelle SS 454",47
141,"1956 Porsche 356A Coupe",47
124,"1956 Porsche 356A Coupe",47
141,"1930 Buick Marquette Phaeton",47
124,"1969 Ford Falcon",46
141,"1900s Vintage Tri-Plane",46
141,"1982 Ducati 996 R",46
141,"1948 Porsche 356-A Roadster",45
124,"1969 Dodge Super Bee",45
124,"1957 Vespa GS150",45
141,"1970 Plymouth Hemi Cuda",44
124,"1917 Grand Touring Sedan",44
124,"1957 Ford Thunderbird",44
141,"1958 Chevy Corvette Limited Edition",44
124,"2002 Yamaha YZR M1",44
141,"The Schooner Bluenose",43
124,"The Mayflower",43
124,"1968 Ford Mustang",42
124,"1976 Ford Gran Torino",42
141,"1982 Ducati 900 Monster",42
124,"1950's Chicago Surface Lines Streetcar",42
141,"1974 Ducati 350 Mk3 Desmo",42
124,"1962 City of Detroit Streetcar",42
141,"1928 British Royal Navy Airplane",41
124,"The Schooner Bluenose",41
141,"1928 Mercedes-Benz SSK",40
141,"18th century schooner",40
141,"2002 Yamaha YZR M1",40
124,"1939 Chevrolet Deluxe Coupe",39
124,"Pont Yacht",39
124,"1911 Ford Town Car",38
141,"1970 Triumph Spitfire",38
124,"The Queen Mary",38
141,"1937 Lincoln Berline",36
124,"1932 Alfa Romeo 8C2300 Spider Sport",36
124,"1949 Jaguar XK 120",36
141,"1954 Greyhound Scenicruiser",35
141,"1971 Alpine Renault 1600s",34
124,"2001 Ferrari Enzo",33
141,"1969 Dodge Super Bee",33
124,"1917 Maxwell Touring Car",33
124,"18th century schooner",33
124,"1969 Chevrolet Camaro Z28",33
124,"1982 Ducati 996 R",33
141,"Diamond T620 Semi-Skirted Tanker",33
124,"1936 Mercedes-Benz 500K Special Roadster",32
141,"1976 Ford Gran Torino",32
141,"1939 Chevrolet Deluxe Coupe",32
124,"1957 Corvette Convertible",31
124,"1938 Cadillac V-16 Presidential Limousine",31
124,"1974 Ducati 350 Mk3 Desmo",30
124,"1969 Dodge Charger",29
141,"1964 Mercedes Tour Bus",29
124,"1982 Ducati 900 Monster",29
124,"1971 Alpine Renault 1600s",27
141,"ATA: B757-300",27
141,"1992 Porsche Cayenne Turbo Silver",26
124,"1937 Lincoln Berline",25
124,"1970 Plymouth Hemi Cuda",24
141,"1998 Chrysler Plymouth Prowler",24
124,"1970 Triumph Spitfire",24
124,"1904 Buick Runabout",24
141,"1938 Cadillac V-16 Presidential Limousine",24
124,"1936 Mercedes Benz 500k Roadster",23
124,"1961 Chevrolet Impala",23
141,"1997 BMW F650 ST",23
124,"1996 Peterbilt 379 Stake Bed with Outrigger",23
124,"Collectable Wooden Train",22
124,"1958 Setra Bus",21
124,"1928 Mercedes-Benz SSK",21
141,"1982 Lamborghini Diablo",21
124,"The Titanic",21
141,"1968 Ford Mustang",20
141,"2001 Ferrari Enzo",20
141,"1968 Dodge Charger",20
124,"1932 Model A Ford J-Coupe",20
124,"1952 Citroen-15CV",20
124,"1982 Lamborghini Diablo",20
141,"The Queen Mary",20
