paymentDate;id;amount;cumulative_pay
11/4/2003;124;11044.3;11044.3
15/8/2003;124;111654.4;122698.7
25/11/2003;124;45084.38;167783.08
26/3/2004;124;43369.3;211152.38
28/8/2004;124;85410.87;296563.25
2/11/2004;124;55639.66;352202.91
27/12/2004;124;47142.7;399345.61
5/3/2005;124;101244.59;500590.2
16/4/2005;124;83598.04;584188.24
25/2/2003;141;40206.2;40206.2
19/7/2003;141;36251.03;76457.23
26/10/2003;141;49539.37;125996.6
9/12/2003;141;63843.55;189840.15
30/1/2004;141;59830.55;249670.7
17/5/2004;141;26155.91;275826.61
9/7/2004;141;35420.74;311247.35
16/8/2004;141;20009.53;331256.88
1/11/2004;141;36140.38;367397.26
31/12/2004;141;116208.4;483605.66
18/3/2005;141;120166.58;603772.24
25/3/2005;141;65071.26;668843.5
19/5/2005;141;46895.48;715738.98
