productName;buyPrice;priceEach;gross_margin;profit_margin_percentage;margin_classification
1917 Grand Touring Sedan;86.7;136;49.3;57;YES
1911 Ford Town Car;33.3;55.09;21.79;65;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;75.46;32.2;74;YES
1936 Mercedes Benz 500k Roadster;21.75;35.29;13.54;62;YES
1932 Model A Ford J-Coupe;58.48;108.06;49.58;85;YES
1928 Mercedes-Benz SSK;72.56;167.06;94.5;130;YES
1939 Chevrolet Deluxe Coupe;22.57;32.53;9.96;44;YES
1938 Cadillac V-16 Presidential Limousine;20.61;44.35;23.74;115;YES
1937 Lincoln Berline;60.62;95.55;34.93;58;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;43.13;18.87;78;YES
1952 Alpine Renault 1300;98.58;214.3;115.72;117;YES
1962 LanciaA Delta 16V;103.42;119.67;16.25;16;NO
1958 Setra Bus;77.9;121.64;43.74;56;YES
1940 Ford Pickup Truck;58.33;94.5;36.17;62;YES
1926 Ford Fire Engine;24.92;58.34;33.42;134;YES
1913 Ford Model T Speedster;60.78;92.19;31.41;52;YES
1934 Ford V8 Coupe;34.35;61.84;27.49;80;YES
18th Century Vintage Horse Carriage;60.74;86.92;26.18;43;YES
1917 Maxwell Touring Car;57.54;86.31;28.77;50;YES
1940s Ford truck;84.76;98.07;13.31;16;NO
1939 Cadillac Limousine;23.14;40.75;17.61;76;YES
1962 Volkswagen Microbus;61.34;107.34;46;75;YES
1936 Chrysler Airflow;57.46;88.62;31.16;54;YES
1980â€™s GM Manhattan Express;53.93;92.46;38.53;71;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;63.35;29.74;88;YES
1982 Camaro Z28;46.53;94.07;47.54;102;YES
1998 Chrysler Plymouth Prowler;101.51;135.9;34.39;34;YES
1964 Mercedes Tour Bus;74.86;122.73;47.87;64;YES
1992 Ferrari 360 Spider red;77.9;165.95;88.05;113;YES
1970 Triumph Spitfire;91.92;119.2;27.28;30;YES
1958 Chevy Corvette Limited Edition;15.91;30.41;14.5;91;YES
1992 Porsche Cayenne Turbo Silver;69.78;106.45;36.67;53;YES
1954 Greyhound Scenicruiser;25.98;51.95;25.97;100;YES
1950's Chicago Surface Lines Streetcar;26.72;56.55;29.83;112;YES
Diamond T620 Semi-Skirted Tanker;68.29;114.59;46.3;68;YES
1962 City of Detroit Streetcar;37.49;53.31;15.82;42;YES
1972 Alfa Romeo GTA;85.68;127.84;42.16;49;YES
2001 Ferrari Enzo;95.59;205.72;110.13;115;YES
1969 Ford Falcon;83.05;141.88;58.83;71;YES
1903 Ford Model A;68.3;136.59;68.29;100;YES
Collectable Wooden Train;67.56;87.73;20.17;30;YES
1904 Buick Runabout;52.66;75.48;22.82;43;YES
18th century schooner;82.34;117.97;35.63;43;YES
1912 Ford Model T Delivery Wagon;46.91;73.46;26.55;57;YES
1940 Ford Delivery Sedan;48.64;75.47;26.83;55;YES
The Schooner Bluenose;34;54;20;59;YES
The Mayflower;43.3;86.61;43.31;100;YES
The Titanic;51.09;92.16;41.07;80;YES
The Queen Mary;53.63;99.31;45.68;85;YES
Pont Yacht;33.3;44.77;11.47;34;YES
1980s Black Hawk Helicopter;77.27;134.04;56.77;73;YES
P-51-D Mustang;49;81.1;32.1;66;YES
1999 Yamaha Speed Boat;51.61;80.86;29.25;57;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;94.22;29.64;46;YES
1928 British Royal Navy Airplane;66.74;107.23;40.49;61;YES
1900s Vintage Bi-Plane;34.25;65.77;31.52;92;YES
1937 Horch 930V Limousine;26.3;55.89;29.59;113;YES
Corsair F4U ( Bird Cage);29.34;55.96;26.62;91;YES
1900s Vintage Tri-Plane;36.23;71;34.77;96;YES
1928 Ford Phaeton Deluxe;33.02;65.35;32.33;98;YES
1930 Buick Marquette Phaeton;27.06;35.78;8.72;32;YES
American Airlines: B767-300;51.15;91.34;40.19;79;YES
HMS Bounty;39.83;85.09;45.26;114;YES
America West Airlines B757-200;68.8;99.72;30.92;45;YES
ATA: B757-300;59.33;113.9;54.57;92;YES
F/A 18 Hornet 1/72;54.4;76;21.6;40;YES
American Airlines: MD-11S;36.27;70.33;34.06;94;YES
Boeing X-32A JSF;32.77;43.7;10.93;33;YES
1969 Harley Davidson Ultimate Chopper;48.81;81.35;32.54;67;YES
1996 Moto Guzzi 1100i;68.99;105.86;36.87;53;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;172.36;81.34;89;YES
2002 Suzuki XREO;66.27;122;55.73;84;YES
1936 Harley Davidson El Knucklehead;24.23;52.7;28.47;117;YES
1997 BMW R 1100 S;60.86;96.92;36.06;59;YES
1960 BSA Gold Star DBD34;37.32;73.12;35.8;96;YES
1997 BMW F650 ST;66.92;88.9;21.98;33;YES
1968 Ford Mustang;95.34;165.38;70.04;73;YES
1968 Dodge Charger;75.16;96.3;21.14;28;NO
1970 Plymouth Hemi Cuda;31.92;75.81;43.89;138;YES
1969 Dodge Charger;58.73;107.1;48.37;82;YES
1948 Porsche 356-A Roadster;53.9;67.76;13.86;26;NO
1969 Dodge Super Bee;49.05;73.17;24.12;49;YES
1976 Ford Gran Torino;73.49;132.29;58.8;80;YES
1957 Vespa GS150;32.95;52.84;19.89;60;YES
1957 Corvette Convertible;69.93;139.87;69.94;100;YES
1982 Ducati 900 Monster;47.1;64.41;17.31;37;YES
1971 Alpine Renault 1600s;38.58;60.01;21.43;56;YES
1956 Porsche 356A Coupe;98.3;132;33.7;34;YES
1961 Chevrolet Impala;32.33;67.1;34.77;108;YES
1982 Ducati 996 R;24.14;36.21;12.07;50;YES
1974 Ducati 350 Mk3 Desmo;56.13;87.76;31.63;56;YES
2002 Yamaha YZR M1;34.17;74.85;40.68;119;YES
1993 Mazda RX-7;83.51;117.48;33.97;41;YES
1995 Honda Civic;93.89;137.98;44.09;47;YES
1999 Indy 500 Monte Carlo SS;56.76;126.72;69.96;123;YES
1992 Ferrari 360 Spider red;77.9;160.87;82.97;107;YES
1948 Porsche Type 356 Roadster;62.16;125.74;63.58;102;YES
1982 Lamborghini Diablo;16.24;32.1;15.86;98;YES
