customerNumber;cantidad_productos_comprados;customer_rank
141;26;1
124;17;2
145;5;3
148;5;3
323;5;3
114;5;3
353;5;3
128;4;4
166;4;4
121;4;4
321;4;4
131;4;4
496;4;4
282;4;4
151;4;4
161;4;4
276;4;4
382;4;4
450;4;4
157;4;4
119;4;4
129;3;5
363;3;5
172;3;5
424;3;5
216;3;5
350;3;5
103;3;5
112;3;5
458;3;5
198;3;5
447;3;5
250;3;5
242;3;5
320;3;5
205;3;5
379;3;5
311;3;5
333;3;5
186;3;5
412;3;5
452;3;5
462;3;5
175;3;5
386;3;5
471;3;5
146;3;5
357;3;5
406;3;5
328;3;5
209;3;5
181;3;5
362;3;5
278;3;5
486;3;5
227;2;6
319;2;6
455;2;6
475;2;6
219;2;6
495;2;6
344;2;6
256;2;6
487;2;6
189;2;6
239;2;6
298;2;6
173;2;6
171;2;6
473;2;6
339;2;6
456;2;6
484;2;6
211;2;6
259;2;6
347;2;6
204;2;6
249;2;6
286;2;6
415;1;7
